threshold,tpr_bad,fpr_good,ks
inf,0.0,0.0,0.0
0.5191860718930166,9.809691975671964e-05,0.0,9.809691975671964e-05
0.48927587422571955,0.00019619383951343929,0.0,0.00019619383951343929
0.4843434161998908,0.00019619383951343929,1.2039054693425473e-05,0.0001841547848200138
0.4801087524018877,0.00039238767902687857,1.2039054693425473e-05,0.00038034862433345307
0.47982946028543755,0.00039238767902687857,2.4078109386850945e-05,0.0003683095696400276
0.4782201853144804,0.0004904845987835982,2.4078109386850945e-05,0.0004664064893967473
0.47594277326034734,0.0004904845987835982,3.611716408027642e-05,0.00045436743470332185
0.475550117697045,0.0005885815185403178,3.611716408027642e-05,0.0005524643544600414
0.4755200667176569,0.0005885815185403178,4.815621877370189e-05,0.0005404252997666159
0.47461365440553976,0.0006866784382970375,4.815621877370189e-05,0.0006385222195233356
0.47382432408181957,0.0006866784382970375,6.019527346712736e-05,0.0006264831648299101
0.4653242672762669,0.001373356876594075,6.019527346712736e-05,0.0013131616031269477
0.4644653160148565,0.001373356876594075,8.427338285397831e-05,0.0012890834937400967
0.46402439030337533,0.0014714537963507945,8.427338285397831e-05,0.0013871804134968162
0.4598438253033317,0.0014714537963507945,0.0001324296016276802,0.0013390241947231142
0.4568341831079235,0.0015695507161075143,0.0001324296016276802,0.001437121114479834
0.45670214246034524,0.0015695507161075143,0.00014446865632110567,0.0014250820597864087
0.4552409759209972,0.0017657445556209534,0.00014446865632110567,0.0016212758992998478
0.454688778860578,0.0017657445556209534,0.00015650771101453114,0.0016092368446064223
0.45404935468706986,0.0018638414753776732,0.00015650771101453114,0.0017073337643631421
0.4503257914927994,0.0018638414753776732,0.00016854676570795662,0.0016952947096697166
0.4498060363625873,0.001961938395134393,0.00016854676570795662,0.0017933916294264364
0.44831860971755,0.001961938395134393,0.00020466392978823303,0.00175727446534616
0.4453857567683011,0.002158132234647832,0.00020466392978823303,0.0019534683048595992
0.44496595700130404,0.002158132234647832,0.0002167029844816585,0.0019414292501661735
0.4438162350721231,0.002256229154404552,0.0002167029844816585,0.0020395261699228933
0.4420536020921653,0.002256229154404552,0.00024078109386850945,0.0020154480605360423
0.43939412187728394,0.002354326074161271,0.00024078109386850945,0.0021135449802927616
0.4384963544703235,0.002354326074161271,0.0002528201485619349,0.0021015059255993364
0.4382915676761375,0.002452422993917991,0.0002528201485619349,0.002199602845356056
0.4338179318465118,0.002452422993917991,0.0003009763673356368,0.002151446626582354
0.43313315960615933,0.0025505199136747108,0.0003009763673356368,0.002249543546339074
0.4293492629206304,0.0025505199136747108,0.0003732106954961896,0.002177309218178521
0.42789941479412735,0.00274671375318815,0.0003732106954961896,0.0023735030576919605
0.4276965444762949,0.00274671375318815,0.0003852497501896151,0.0023614640029985348
0.4275005738425864,0.0028448106729448697,0.0003852497501896151,0.0024595609227552545
0.42703703441849267,0.0028448106729448697,0.00039728880488304057,0.0024475218680618293
0.42393933905458775,0.003041004512458309,0.00039728880488304057,0.0026437157075752684
0.42369054015181395,0.003041004512458309,0.00040932785957646607,0.0026316766528818427
0.4228684858823302,0.0031391014322150286,0.00040932785957646607,0.0027297735726385624
0.4214793370060156,0.0031391014322150286,0.0004213669142698915,0.002717734517945137
0.4209275467000419,0.0033352952717284677,0.0004213669142698915,0.0029139283574585763
0.4155188284610469,0.0033352952717284677,0.0005658355705909972,0.0027694597011374703
0.4153485926059058,0.0034333921914851875,0.0005658355705909972,0.0028675566208941905
0.41446345269041857,0.0034333921914851875,0.0006380698987515501,0.0027953222927336375
0.41343519997714934,0.003531489111241907,0.0006380698987515501,0.002893419212490357
0.41152562190282926,0.003531489111241907,0.0006982651722186774,0.0028332239390232296
0.41049968008488386,0.0037276829507553464,0.0006982651722186774,0.003029417778536669
0.4100070972055632,0.0037276829507553464,0.0007223432816055284,0.003005339669149818
0.40936004680706434,0.0038257798705120657,0.0007223432816055284,0.0031034365889065375
0.40931214743339867,0.0038257798705120657,0.0007343823362989539,0.0030913975342131117
0.40876143838534906,0.003923876790268786,0.0007343823362989539,0.003189494453969832
0.40691013388241465,0.003923876790268786,0.0008066166644595066,0.0031172601258092794
0.4067767513274203,0.004021973710025505,0.0008066166644595066,0.0032153570455659987
0.4065708922658894,0.004021973710025505,0.0008306947738463575,0.0031912789361791477
0.4060215409941903,0.004218167549538945,0.0008306947738463575,0.0033874727756925873
0.4051267030285735,0.004218167549538945,0.000866811937926634,0.0033513556116123106
0.4047810735127439,0.0044143613890523835,0.000866811937926634,0.0035475494511257493
0.4046691876750436,0.0044143613890523835,0.0008788509926200594,0.003535510396432324
0.4046146528981341,0.004512458308809104,0.0008788509926200594,0.003633607316189044
0.4034795320951685,0.004512458308809104,0.0008908900473134849,0.003621568261495619
0.4032084190923897,0.004806749068079263,0.0008908900473134849,0.003915859020765778
0.40307559022477113,0.004806749068079263,0.0009149681567003359,0.003891780911378927
0.40214192059744996,0.004904845987835982,0.0009149681567003359,0.003989877831135646
0.4019025461200109,0.004904845987835982,0.0009390462660871868,0.003965799721748795
0.40169312841438803,0.005002942907592701,0.0009390462660871868,0.0040638966415055145
0.4011616917807583,0.005002942907592701,0.0009510853207806123,0.004051857586812089
0.4008751949701358,0.00529723366686286,0.0009510853207806123,0.004346148346082248
0.4006989152943218,0.00529723366686286,0.0009631243754740378,0.004334109291388822
0.40067580004693687,0.00539533058661958,0.0009631243754740378,0.004432206211145543
0.40002517326012366,0.00539533058661958,0.000999241539554314,0.004396089047065266
0.39993835772205505,0.0054934275063763,0.000999241539554314,0.004494185966821986
0.3989292358366331,0.0054934275063763,0.0010112805942477396,0.00448214691212856
0.39882089434002077,0.005591524426133019,0.0010112805942477396,0.00458024383188528
0.39776105229002656,0.005591524426133019,0.001071475867714867,0.0045200485584181525
0.3975780980546599,0.005689621345889739,0.001071475867714867,0.004618145478174872
0.39686843333793137,0.005689621345889739,0.0011316711411819944,0.004557950204707745
0.3957554096299335,0.005885815185403178,0.0011316711411819944,0.004754144044221184
0.3955739755237089,0.005885815185403178,0.0011557492505688454,0.004730065934834333
0.3952416546711995,0.006180105944673337,0.0011557492505688454,0.0050243566941044916
0.3950768970756323,0.006180105944673337,0.0011677883052622709,0.005012317639411066
0.3949172769536241,0.0063762997841867765,0.0011677883052622709,0.005208511478924506
0.3940054299277275,0.0063762997841867765,0.0012039054693425472,0.005172394314844229
0.39399587460573937,0.006474396703943496,0.0012039054693425472,0.0052704912346009485
0.3935074781087243,0.006474396703943496,0.0012279835787293982,0.005246413125214098
0.3934207855717207,0.006572493623700216,0.0012279835787293982,0.005344510044970818
0.3933244249236327,0.006572493623700216,0.0012520616881162492,0.005320431935583967
0.39286927952245754,0.006670590543456935,0.0012520616881162492,0.005418528855340686
0.3928320353550288,0.006670590543456935,0.0012641007428096747,0.005406489800647261
0.39241761737119435,0.006866784382970375,0.0012641007428096747,0.0056026836401607
0.3909121462610387,0.006866784382970375,0.0013604131803570784,0.005506371202613296
0.39077603370619945,0.006964881302727094,0.0013604131803570784,0.005604468122370016
0.38985222776591755,0.006964881302727094,0.0014446865632110567,0.005520194739516038
0.3897048960452919,0.007062978222483814,0.0014446865632110567,0.005618291659272757
0.38970133710910476,0.007062978222483814,0.0014567256179044822,0.005606252604579332
0.3896431444150983,0.007259172061997253,0.0014567256179044822,0.0058024464440927705
0.3896274272554684,0.007259172061997253,0.0014687646725979077,0.005790407389399345
0.38872506276273017,0.007553462821267412,0.0014687646725979077,0.006084698148669504
0.3880700077693128,0.007553462821267412,0.001504881836678184,0.006048580984589228
0.38798604668543146,0.007651559741024131,0.001504881836678184,0.006146677904345948
0.38789062615212966,0.007651559741024131,0.001528959946065035,0.006122599794959096
0.38774237391223093,0.007749656660780852,0.001528959946065035,0.006220696714715816
0.3870995344476479,0.007749656660780852,0.001553038055451886,0.006196618605328966
0.3866194211920878,0.007945850500294291,0.001553038055451886,0.006392812444842405
0.38651596971695273,0.007945850500294291,0.0015771161648387368,0.006368734335455555
0.3864250820835662,0.00804394742005101,0.0015771161648387368,0.006466831255212274
0.38640770927624374,0.00804394742005101,0.0015891552195321623,0.006454792200518848
0.3858927295173175,0.00824014125956445,0.0015891552195321623,0.006650986040032287
0.38569740890459614,0.00824014125956445,0.0016011942742255878,0.0066389469853388615
0.3850191440654431,0.00843633509907789,0.0016011942742255878,0.006835140824852302
0.3846817346913986,0.00843633509907789,0.0016252723836124388,0.0068110627154654504
0.3835391556220202,0.008926819697861486,0.0016252723836124388,0.007301547314249047
0.3829345361049876,0.008926819697861486,0.0016734286023861406,0.007253391095475346
0.382687965775223,0.009123013537374927,0.0016734286023861406,0.0074495849349887865
0.3825630476927016,0.009123013537374927,0.0016975067117729916,0.007425506825601935
0.3823054601521559,0.009319207376888365,0.0016975067117729916,0.007621700665115374
0.38123857911150477,0.009319207376888365,0.0017577019852401188,0.0075615053916482464
0.3805795125445742,0.009515401216401804,0.0017577019852401188,0.007757699231161685
0.3805023213473525,0.009515401216401804,0.0017697410399335443,0.00774566017646826
0.3802106721353881,0.009711595055915245,0.0017697410399335443,0.0079418540159817
0.37938048546869124,0.009711595055915245,0.0018419753680940973,0.007869619687821147
0.3793544126209067,0.009809691975671964,0.0018419753680940973,0.007967716607577866
0.37884599007116787,0.009809691975671964,0.0018660534774809481,0.007943638498191016
0.37880157608660536,0.009907788895428683,0.0018660534774809481,0.008041735417947735
0.3778309380299539,0.009907788895428683,0.0018901315868677991,0.008017657308560884
0.37775828634981096,0.010005885815185403,0.0018901315868677991,0.008115754228317604
0.37740065599215095,0.010005885815185403,0.0019142096962546501,0.008091676118930753
0.3770994740564626,0.010103982734942122,0.0019142096962546501,0.008189773038687473
0.3766230127717,0.010103982734942122,0.0019262487509480756,0.008177733983994045
0.37651431613814557,0.010202079654698843,0.0019262487509480756,0.008275830903750767
0.37573000395554357,0.010202079654698843,0.001962365915028352,0.00823971373967049
0.3753850595896671,0.010300176574455562,0.001962365915028352,0.00833781065942721
0.375093926969706,0.010300176574455562,0.001986444024415203,0.00831373255004036
0.37504730386976004,0.010398273494212282,0.001986444024415203,0.008411829469797079
0.3745564615159923,0.010398273494212282,0.002094795516656032,0.00830347797755625
0.3741375077228266,0.01059446733372572,0.002094795516656032,0.008499671817069688
0.37352467536956924,0.01059446733372572,0.0022272251182837125,0.008367242215442008
0.3732795148495264,0.01088875809299588,0.0022272251182837125,0.008661532974712168
0.3731354312469873,0.01088875809299588,0.0022392641729771377,0.008649493920018743
0.3724738560970546,0.011183048852266038,0.0022392641729771377,0.008943784679288901
0.37043147296443424,0.011183048852266038,0.0023355766105245417,0.008847472241741497
0.3703133193221709,0.01128114577202276,0.0023355766105245417,0.008945569161498218
0.36989814472683974,0.01128114577202276,0.0023596547199113927,0.008921491052111367
0.36955613977623764,0.011575436531292917,0.0023596547199113927,0.009215781811381524
0.369139264449374,0.011575436531292917,0.0024078109386850943,0.009167625592607823
0.3690154439053434,0.011673533451049637,0.0024078109386850943,0.009265722512364542
0.36896474922558614,0.011673533451049637,0.00241984999337852,0.009253683457671117
0.3687670614017033,0.011771630370806356,0.00241984999337852,0.009351780377427836
0.36862421544816715,0.011771630370806356,0.002443928102765371,0.009327702268040985
0.3685014694946928,0.011869727290563077,0.002443928102765371,0.009425799187797707
0.36810699466376307,0.011869727290563077,0.0024680062121522216,0.009401721078410856
0.3677385903894129,0.011967824210319796,0.0024680062121522216,0.009499817998167575
0.36684201402143957,0.011967824210319796,0.0025282014856193493,0.009439622724700447
0.3665745426887181,0.012360211889346674,0.0025282014856193493,0.009832010403727325
0.3663085718340774,0.012360211889346674,0.0025643186496996256,0.009795893239647049
0.3660664362383024,0.012458308809103395,0.0025643186496996256,0.00989399015940377
0.3654347557748968,0.012458308809103395,0.0026124748684733276,0.009845833940630067
0.36482823924544955,0.012850696488130272,0.0026124748684733276,0.010238221619656944
0.3645472031011731,0.012850696488130272,0.0026365529778601786,0.010214143510270094
0.36453042211389414,0.012948793407886992,0.0026365529778601786,0.010312240430026813
0.3644946924810919,0.012948793407886992,0.002648592032553604,0.010300201375333388
0.36413271016703397,0.01334118108691387,0.002648592032553604,0.010692589054360267
0.3639861530373404,0.01334118108691387,0.002660631087247029,0.010680549999666842
0.36359590855745466,0.01363547184618403,0.002660631087247029,0.010974840758937001
0.3632251918848049,0.01363547184618403,0.002708787306020731,0.010926684540163299
0.3631113647448049,0.01373356876594075,0.002708787306020731,0.01102478145992002
0.36300713632092285,0.01373356876594075,0.002732865415407582,0.011000703350533167
0.36273897577799163,0.01383166568569747,0.002732865415407582,0.011098800270289887
0.3623998579262987,0.01383166568569747,0.0027930606888747094,0.01103860499682276
0.3621491807545595,0.014125956444967627,0.0027930606888747094,0.011332895756092918
0.3621286506679053,0.014125956444967627,0.002805099743568135,0.011320856701399491
0.36211514723014343,0.014322150284481068,0.002805099743568135,0.011517050540912933
0.3620167740052736,0.014322150284481068,0.0028171387982615604,0.011505011486219508
0.36182984963148523,0.014518344123994506,0.0028171387982615604,0.011701205325732947
0.3617407054985337,0.014518344123994506,0.002829177852954986,0.01168916627103952
0.361710505712273,0.014616441043751226,0.002829177852954986,0.011787263190796239
0.36131851588041747,0.014616441043751226,0.0028652950170352624,0.011751146026715963
0.36046570600111333,0.015008828722778105,0.0028652950170352624,0.012143533705742842
0.35984829204640106,0.015008828722778105,0.0029495683998892407,0.012059260322888864
0.3592536242748534,0.015106925642534824,0.0029495683998892407,0.012157357242645583
0.35886484616139674,0.015106925642534824,0.0029736465092760917,0.012133279133258732
0.35862141409281856,0.015303119482048263,0.0029736465092760917,0.012329472972772171
0.3577159706441117,0.015303119482048263,0.003033841782743219,0.012269277699305043
0.3576428346476627,0.015401216401804984,0.003033841782743219,0.012367374619061764
0.35740696633717195,0.015401216401804984,0.00305791989213007,0.012343296509674914
0.3571964459481077,0.015499313321561703,0.00305791989213007,0.012441393429431633
0.3571516984833435,0.015499313321561703,0.0030699589468234953,0.012429354374738208
0.3570153296364128,0.015695507161075144,0.0030699589468234953,0.012625548214251648
0.35622970530558584,0.015695507161075144,0.003130154220290623,0.012565352940784522
0.3561801868414313,0.01579360408083186,0.003130154220290623,0.01266344986054124
0.3559056603548461,0.01579360408083186,0.0031662713843708993,0.012627332696460962
0.35574517849012477,0.015891701000588582,0.0031662713843708993,0.012725429616217683
0.3553736226015311,0.015891701000588582,0.0031903494937577503,0.012701351506830832
0.3550542426044251,0.01608789484010202,0.0031903494937577503,0.01289754534634427
0.3549314507695043,0.01608789484010202,0.0032023885484511756,0.012885506291650846
0.35489779469187244,0.016185991759858742,0.0032023885484511756,0.012983603211407567
0.3548213389347091,0.016185991759858742,0.0032144276031446013,0.012971564156714141
0.3546594459256954,0.01638218559937218,0.0032144276031446013,0.01316775799622758
0.3544303691538989,0.01638218559937218,0.0032264666578380266,0.013155718941534155
0.3543141987698445,0.0164802825191289,0.0032264666578380266,0.013253815861290872
0.3538776905814996,0.0164802825191289,0.0032505447672248776,0.01322973775190402
0.3538619123654121,0.01657837943888562,0.0032505447672248776,0.013327834671660741
0.353628582872934,0.01657837943888562,0.003286661931305154,0.013291717507580465
0.3534702806361072,0.016676476358642337,0.003286661931305154,0.013389814427337183
0.3534619825208128,0.016676476358642337,0.0032987009859985796,0.013377775372643758
0.35334172027054517,0.016970767117912497,0.0032987009859985796,0.013672066131913917
0.35226910840740205,0.016970767117912497,0.003370935314159132,0.013599831803753366
0.3521293702353161,0.017068864037669218,0.003370935314159132,0.013697928723510087
0.3520238294538166,0.017068864037669218,0.003382974368852558,0.01368588966881666
0.35186083154230297,0.017363154796939378,0.003382974368852558,0.01398018042808682
0.3517870273054148,0.017363154796939378,0.003419091532932834,0.013944063264006544
0.3512880918905947,0.018049833235236415,0.003419091532932834,0.01463074170230358
0.3501831026631076,0.018049833235236415,0.0035394820798670887,0.014510351155369326
0.35013179052417837,0.018246027074749854,0.0035394820798670887,0.014706544994882765
0.3501115242817108,0.018246027074749854,0.0035515211345605144,0.01469450594018934
0.3500399481929556,0.01834412399450657,0.0035515211345605144,0.014792602859946057
0.34971617115672216,0.01834412399450657,0.0035996773533342164,0.014744446641172354
0.3496570780954849,0.018442220914263292,0.0035996773533342164,0.014842543560929075
0.3495527584337563,0.018442220914263292,0.0036117164080276417,0.01483050450623565
0.34939212213037274,0.01863841475377673,0.0036117164080276417,0.015026698345749089
0.34929931517449886,0.01863841475377673,0.003623755462721067,0.015014659291055664
0.34904057359378,0.018736511673533452,0.003623755462721067,0.015112756210812385
0.34891745441184646,0.018736511673533452,0.0036598726268013437,0.015076639046732109
0.3488212172318459,0.01883460859329017,0.0036598726268013437,0.015174735966488826
0.348112268911727,0.01883460859329017,0.0037321069549618962,0.015102501638328273
0.3480708870181133,0.01893270551304689,0.0037321069549618962,0.015200598558084994
0.3479566961605876,0.01893270551304689,0.0037802631737355982,0.015152442339311293
0.34790871370278287,0.01903080243280361,0.0037802631737355982,0.01525053925906801
0.3476849643514943,0.01903080243280361,0.0038163803378158745,0.015214422094987735
