Stage,ROC-AUC,Gini,KS,Brier Score,Log Loss,Mean Predicted PD,Observed Default Rate,Calibration Gap
Cross-Validation,0.7034659530670841,,,0.09208503054269099,0.31894738365882735,,,
Validation,0.705475706245695,0.41095141249139,0.2994667922402793,0.09177315387320015,0.3181571311879619,0.10928285790544905,0.10930756239444549,-2.4704488996440954e-05
Test,0.7019659473979853,0.4039318947959707,0.2973267906161159,0.09201102608395202,0.3190984935344061,0.10914636052437614,0.10931082921389279,-0.00016446868951665305
