Learning Rate,Max Iter,Max Leaf Nodes,Min Samples Leaf,L2 Regularization,Train ROC-AUC,CV ROC-AUC,CV ROC-AUC Std,Brier Score,Log Loss,Rank,AUC Gap
0.05,200,31,500,1.0,0.7347748383236835,0.7034659530670841,0.0017034471289333547,0.09208503054269099,0.31894738365882735,1,0.03130888525659936
0.1,200,31,500,1.0,0.7597143805813451,0.70337139356813,0.0014287697613390583,0.09212709475670133,0.3189994118033488,2,0.05634298701321505
0.05,200,31,500,0.0,0.7349434156455107,0.7031787927925417,0.001822005694739397,0.09209233416974709,0.319005884269298,3,0.03176462285296899
0.1,200,31,500,0.0,0.7598783027614942,0.7031471455029941,0.0015950189945866783,0.09215489531448173,0.3190786213650434,4,0.05673115725850009
0.1,200,15,500,1.0,0.7304879741196861,0.7030770222265648,0.001764940751790402,0.09211077596868317,0.3190353619418038,5,0.02741095189312137
0.1,100,31,500,0.0,0.734713248724538,0.7029714188140275,0.0015980184738671425,0.09212405283248926,0.31908036876288587,6,0.031741829910510555
0.1,200,15,500,0.0,0.7306265008763604,0.702921290648285,0.001825537731755392,0.09212266679531803,0.31905479958892824,7,0.027705210228075372
0.1,100,31,500,1.0,0.7345683277939713,0.7028405730747795,0.0014695682801220019,0.0921371304632148,0.3191323706965794,8,0.03172775471919176
0.1,200,31,100,1.0,0.7649034320449479,0.7023667443184016,0.0017577236402576179,0.09217221486519964,0.3192423146615077,9,0.0625366877265463
0.05,200,31,100,1.0,0.7373020242750558,0.7021267921697809,0.0013729194515739599,0.09215719611899349,0.3192951981715605,10,0.035175232105274845
0.1,100,31,100,1.0,0.7369362568705959,0.701952306523806,0.0019037088386259907,0.09217723452778434,0.31934977050070823,11,0.034983950346789916
0.05,200,31,100,0.0,0.7381451808670321,0.7019513656461049,0.0013936946893872628,0.09216354487191328,0.31932913350493697,12,0.03619381522092713
0.1,200,15,100,1.0,0.7325991723990342,0.7018666960802701,0.001487364246299095,0.09217919862592586,0.31935360993598133,13,0.03073247631876408
0.1,200,15,100,0.0,0.7331154616757694,0.7016251001425285,0.0019363907646780883,0.09219793426958404,0.3194378309610314,14,0.03149036153324081
0.1,100,31,100,0.0,0.7378871204437851,0.7015966710443864,0.0017820841707244155,0.0921940723703485,0.31944591341155243,15,0.03629044939939874
0.1,200,31,100,0.0,0.767143358747082,0.701481448154429,0.001953160556682575,0.09221678236915327,0.31949382486524314,16,0.06566191059265292
0.05,200,15,500,0.0,0.7165059181168458,0.7012612878879215,0.0017488510408935746,0.09220308340475161,0.3195285078079325,17,0.015244630228924305
0.05,200,15,500,1.0,0.7164211813939491,0.7012486121855075,0.0017680583109354153,0.09220750939512826,0.31954212184528863,18,0.015172569208441566
0.1,100,15,500,1.0,0.7164192457271623,0.7011693860289941,0.0017801454423650072,0.09221784430546912,0.31957955601988863,19,0.015249859698168167
0.1,100,15,500,0.0,0.7162297246138836,0.7009824428480659,0.0018649540620660626,0.0922269761737271,0.3196139939376634,20,0.015247281765817688
0.05,100,31,500,0.0,0.7189294738123833,0.7007441420438115,0.0016356344733424834,0.09223807457369654,0.31972569909265547,21,0.018185331768571733
0.05,100,31,500,1.0,0.718710873834729,0.7006173889550666,0.0017072751071774046,0.09224622971948829,0.3197611209847212,22,0.018093484879662336
0.05,200,15,100,0.0,0.7173957676225793,0.7004895297680143,0.0017629320315800004,0.0922511017589762,0.319744346974144,23,0.01690623785456502
0.05,200,15,100,1.0,0.7168761630319939,0.7003947079618941,0.0017485014225378228,0.09225025310688557,0.31976113107953424,24,0.016481455070099793
0.1,100,15,100,0.0,0.717489553807859,0.7002956525140798,0.0017549885845993874,0.09226755924363998,0.31979764678238676,25,0.01719390129377918
0.1,100,15,100,1.0,0.7170138055376567,0.7002585305439981,0.0016766761265016078,0.092270516037563,0.3198052313748866,26,0.016755274993658587
0.05,100,31,100,1.0,0.7196910649145827,0.7001205752955497,0.0014808110978046154,0.09227104334011023,0.3198877212949612,27,0.01957048961903296
0.05,100,31,100,0.0,0.7201269649692759,0.7000938088449689,0.001426585641803156,0.09227946099672409,0.3199002305065956,28,0.020033156124307006
0.05,100,15,500,1.0,0.7065832012633557,0.6978153451397839,0.00182016584637221,0.09242943820420405,0.3205633351317347,29,0.008767856123571782
0.05,100,15,500,0.0,0.7065766213196238,0.697743009364898,0.0019666324737801014,0.0924283929755211,0.32057479064097893,30,0.008833611954725873
0.05,100,15,100,0.0,0.7066653077498903,0.6976584758455302,0.0018428169140026261,0.09243531788863663,0.3206020625119669,31,0.009006831904360135
0.05,100,15,100,1.0,0.7065594773320425,0.6975584023574469,0.0018436222001908923,0.09243552589147681,0.32062419132867725,32,0.009001074974595569
